V9001,descricao.produto,tru.cod,tru.desc,produto.intermediacao,produto.intermediacao.internacional,produto.intermediacao.49002,produto.intermediacao.50001,produto.intermediacao.51001,produto.intermediacao.55001,produto.intermediacao.56001,produto.intermediacao.90801
2400501,"PAO (COM OU SEM MANTEIGA, REQUEIJAO, POLENGUINHO, ETC.)",56001,Serviços  de alimentação,,,,,,,,
2400502,PAO COM MANTEIGA,56001,Serviços  de alimentação,,,,,,,,
2400503,PAO SEM MANTEIGA,56001,Serviços  de alimentação,,,,,,,,
2400504,PAO COM REQUEIJAO,56001,Serviços  de alimentação,,,,,,,,
2400505,PAO SEM REQUEIJAO,56001,Serviços  de alimentação,,,,,,,,
2400506,PAO COM POLENGUINHO,56001,Serviços  de alimentação,,,,,,,,
2400507,PAO SEM POLENGUINHO,56001,Serviços  de alimentação,,,,,,,,
2400508,PAO NA CHAPA,56001,Serviços  de alimentação,,,,,,,,
2400601,"SANDUICHE (CACHORRO QUENTE, HAMBURGUER, MISTO QUENTE, ETC.)",56001,Serviços  de alimentação,,,,,,,,
2400602,CACHORRO QUENTE,56001,Serviços  de alimentação,,,,,,,,
2400603,HAMBURGUER,56001,Serviços  de alimentação,,,,,,,,
2400604,CHEESE BURGUER,56001,Serviços  de alimentação,,,,,,,,
2400605,CHEESE SALADA,56001,Serviços  de alimentação,,,,,,,,
2400606,CHEESE EGG,56001,Serviços  de alimentação,,,,,,,,
2400607,CHEESE BACON,56001,Serviços  de alimentação,,,,,,,,
2400608,CHEESE TUDO,56001,Serviços  de alimentação,,,,,,,,
2400609,BAURU,56001,Serviços  de alimentação,,,,,,,,
2400610,AMERICANO,56001,Serviços  de alimentação,,,,,,,,
2400611,MISTO QUENTE OU FRIO,56001,Serviços  de alimentação,,,,,,,,
2400612,SANDUICHE DE QUEIJO PRATO,56001,Serviços  de alimentação,,,,,,,,
2400613,SANDUICHE DE QUEIJO MINAS,56001,Serviços  de alimentação,,,,,,,,
2400614,SANDUICHE DE PRESUNTO,56001,Serviços  de alimentação,,,,,,,,
2400615,SANDUICHE DE QUEIJO PRATO COM PRESUNTO,56001,Serviços  de alimentação,,,,,,,,
2400616,SANDUICHE DE MORTADELA,56001,Serviços  de alimentação,,,,,,,,
2400617,SANDUICHE DE SALAME,56001,Serviços  de alimentação,,,,,,,,
2400618,SANDUICHE NATURAL,56001,Serviços  de alimentação,,,,,,,,
2400619,"TORRADA COM QUEIJO, PRESUNTO, OVO, ETC.",56001,Serviços  de alimentação,,,,,,,,
2400701,"SALGADOS OU TIRA-GOSTO (PASTEL, COXINHA, ESPETINHO, BATATA FRITA, ETC.)",56001,Serviços  de alimentação,,,,,,,,
2400702,PASTEL,56001,Serviços  de alimentação,,,,,,,,
2400703,COXINHA,56001,Serviços  de alimentação,,,,,,,,
2400704,EMPADA,56001,Serviços  de alimentação,,,,,,,,
2400705,ESFIRRA,56001,Serviços  de alimentação,,,,,,,,
