V9001;descricao.produto;cnae;pas;tru.cod;tru.desc;discrepancias;produto.intermediacao;produto.intermediacao.internacional;produto.intermediacao.49002;produto.intermediacao.50001;produto.intermediacao.51001;produto.intermediacao.55001;produto.intermediacao.56001;produto.intermediacao.90801;POF2009
4100201;ONIBUS URBANO;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4100301;ONIBUS INTERMUNICIPAL;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4100401;ONIBUS INTERESTADUAL;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4100501;ONIBUS INTERNACIONAL;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4100601;TRANSPORTE ALTERNATIVO (VAN, KOMBI, LOTADA, ETC.);49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;#N/D
4100602;VAN;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4100603;KOMBI;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4100604;CAMINHAO;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4100605;PAU-DE-ARARA;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4100701;TAXI;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4100801;MOTO-TAXI;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;Transporte terrestre de passageiros
4106401;UBER;49;Transporte rodoviário de passageiros;49002;Transporte terrestre de passageiros;;;;;;;;;;#N/D
2301401;GASOLINA COMUM (COMBUSTIVEL DE VEICULO);23;;19912;Gasoálcool;;;;;;;;;;
2301501;GASOLINA ADITIVADA (COMBUSTIVEL DE VEICULO);23;;19912;Gasoálcool;;;;;;;;;;
2301502;GASOLINA ESPECIAL (COMBUSTIVEL DE VEICULO);23;;19912;Gasoálcool;;;;;;;;;;
2301601;ALCOOL (COMBUSTIVEL DE VEICULO);23;;19912;Gasoálcool;;;;;;;;;;
2301701;OLEO DIESEL (COMBUSTIVEL DE VEICULO);23;;19912;Gasoálcool;;;;;;;;;;
2301801;GAS VEICULAR;23;;19912;Gasoálcool;;;;;;;;;;
5001301;ALUGUEL DE VEICULO SEM CONDUTOR;50;Aluguéis não imobiliários e gestão de ativos intangíveis não financeiros;77001;Aluguéis não-imob. e gestão de ativos de propriedade intelectual;;;;;;;;;;
4501201;ALUGUEL DE VEICULO PARA CASAMENTO, ANIVERSARIO, ETC.;50;Aluguéis não imobiliários e gestão de ativos intangíveis não financeiros;77001;Aluguéis não-imob. e gestão de ativos de propriedade intelectual;;;;;;;;;;
2301901;ESTACIONAMENTO;23;Armazenamento e atividades auxiliares aos transportes;52801;Armazenamento e serviços auxiliares aos transportes;;;;;;;;;;
2302001;PEDAGIO;23;Armazenamento e atividades auxiliares aos transportes;52801;Armazenamento e serviços auxiliares aos transportes;;;;;;;;;;
2800201;TEATRO (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800301;MUSEU (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800401;FEIRA OU EXPOSICAO (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800402;FEIRA DE INFORMATICA (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800501;CIRCO (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800601;PARQUE DE DIVERSAO (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800602;PESCARIA (PARQUE DE DIVERSAO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800701;SHOW (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800702;SERESTA (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800703;FORRO (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800704;BAR (COUVERT ARTISTICO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800801;BAILE OU FESTA (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800901;DANCETERIA, BOATE OU CASA NOTURNA (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800902;DANCETERIA (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800903;BOATE (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800904;DISCOTECA (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2800905;CASA NOTURNA (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
2801001;FUTEBOL DE CAMPO (INGRESSO);28;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;
